DR-15	 | 		 | 	2/4/1954	 | 	
DR-47	 | 		 | 	12/22/1955	 | 	
DR-65	 | 		 | 	12/28/1956	 | 	
DR-82	 | 		 | 	4/3/1958	 | 	
DR-119	 | 		 | 	11/15/1961	 | 	
DR-122	 | 		 | 	3/5/1962	 | 	
DR-138	 | 		 | 	10/23/1962	 | 	
DR-145	 | 		 | 	2/24/1963	 | 	
DR-161	 | 		 | 	12/20/1963	 | 	
DR-169	 | 		 | 	3/31/1964	 | 	
DR-183	 | 		 | 	12/23/1964	 | 	
DR-211	 | 		 | 	12/6/1965	 | 	
DR-212	 | 		 | 	1/21/1966	 | 	
DR-223	 | 		 | 	1/1/1967	 | 	
DR-253	 | 		 | 	1/25/1969	 | 	
DR-270	 | 		 | 	8/14/1969	 | 	
DR-283	 | 		 | 	2/15/1970	 | 	
DR-295	 | 		 | 	9/28/1970	 | 	
DR-299	 | 		 | 	2/8/1971	 | 	
DR-316	 | 		 | 	1/10/1972	 | 	
DR-329	 | 		 | 	4/4/1972	 | 	
DR-342	 | 		 | 	6/26/1972	 | 	
DR-364	 | 		 | 	2/7/1973	 | 	
DR-412	 | 		 | 	1/24/1974	 | 	
DR-432	 | 		 | 	5/6/1974	 | 	
DR-521	 | 		 | 	9/20/1976	 | 	
EM-3023	 | 		 | 	1/19/1977	 | 	
FSA-2028	 | 		 | 	8/6/1977	 | 	
DR-547	 | 		 | 	2/14/1978	 | 	
DR-566	 | 		 | 	10/8/1978	 | 	
EM-3067	 | 		 | 	10/28/1978	 | 	
DR-594	 | 		 | 	7/26/1979	 | 	
DR-609	 | 		 | 	10/18/1979	 | 	
EM-3078	 | 		 | 	1/31/1980	 | 	
DR-615	 | 		 | 	2/20/1980	 | 	
DR-633	 | 		 | 	10/1/1980	 | 	
DR-635	 | 		 | 	11/26/1980	 | 	
DR-651	 | 		 | 	1/6/1982	 | 	
DR-657	 | 		 | 	4/23/1982	 | 	
DR-669	 | 		 | 	9/23/1982	 | 	
DR-677	 | 		 | 	2/8/1983	 | 	
DR-682	 | 		 | 	5/4/1983	 | 	
DR-687	 | 		 | 	6/30/1983	 | 	
DR-690	 | 		 | 	9/21/1983	 | 	
FSA-2055	 | 		 | 	7/10/1985	 | 	
FSA-2054	 | 		 | 	7/10/1985	 | 	
DR-739	 | 		 | 	7/17/1985	 | 	
DR-758	 | 		 | 	2/20/1986	 | 	
FSA-2065	 | 		 | 	9/1/1987	 | 	
DR-799	 | 		 | 	10/6/1987	 | 	
DR-812	 | 		 | 	2/4/1988	 | 	
FSA-2071	 | 		 | 	9/12/1988	 | 	
DR-815	 | 		 | 	9/28/1988	 | 	
DR-845	 | 		 | 	10/17/1989	 | 	
DR-872	 | 		 | 	6/29/1990	 | 	
