DR-15	 | 	
DR-47	 | 	
DR-65	 | 	
DR-82	 | 	
DR-119	 | 	
DR-122	 | 	
DR-138	 | 	
DR-145	 | 	
DR-161	 | 	
DR-169	 | 	
DR-183	 | 	
DR-211	 | 	
DR-212	 | 	
DR-223	 | 	
DR-253	 | 	
DR-270	 | 	
DR-283	 | 	
DR-295	 | 	
DR-299	 | 	
DR-316	 | 	
DR-329	 | 	
DR-342	 | 	
DR-364	 | 	
DR-412	 | 	
DR-432	 | 	
DR-521	 | 	
EM-3023	 | 	
FSA-2028	 | 	
DR-547	 | 	
DR-566	 | 	
EM-3067	 | 	
DR-594	 | 	
DR-609	 | 	
EM-3078	 | 	
DR-615	 | 	
DR-633	 | 	
DR-635	 | 	
DR-651	 | 	
DR-657	 | 	
DR-669	 | 	
DR-677	 | 	
DR-682	 | 	
DR-687	 | 	
DR-690	 | 	
FSA-2055	 | 	
FSA-2054	 | 	
DR-739	 | 	
DR-758	 | 	
FSA-2065	 | 	
DR-799	 | 	
DR-812	 | 	
FSA-2071	 | 	3314655.92
DR-815	 | 	
DR-845	 | 	
DR-872	 | 	
DR-894	 | 	
DR-919	 | 	
DR-935	 | 	
DR-942	 | 	
DR-943	 | 	
DR-947	 | 	
DR-958	 | 	
DR-979	 | 	
DR-1005	 | 	
DR-1008	 | 	
DR-1038	 | 	
DR-1044	 | 	
DR-1046	 | 	
EM-3120	 | 	
DR-1155	 | 	
DR-1203	 | 	
DR-1267	 | 	
EM-3140	 | 	51218204.06
DR-1342	 | 	
FSA-2396	 | 	
FSA-2405	 | 	
FSA-2417	 | 	
FSA-2425	 | 	
FSA-2433	 | 	
FSA-2450	 | 	
FSA-2456	 | 	
FSA-2461	 | 	
FSA-2462	 | 	1807994
FSA-2463	 | 	
FSA-2464	 | 	
FSA-2465	 | 	
FM-2466	 | 	
FM-2473	 | 	
FM-2474	 | 	
FM-2475	 | 	
FM-2487	 | 	
FM-2491	 | 	
FM-2497	 | 	
FM-2500	 | 	
FM-2501	 | 	
FM-2502	 | 	
FM-2503	 | 	
FM-2504	 | 	
FM-2505	 | 	
FM-2506	 | 	
FM-2507	 | 	
DR-1498	 | 	
FM-2508	 | 	
DR-1505	 | 	
FM-2515	 | 	
FM-2516	 | 	
FM-2517	 | 	
FM-2519	 | 	
DR-1529	 | 	
FM-2532	 | 	
FM-2528	 | 	
FM-2529	 | 	
FM-2530	 | 	
FM-2533	 | 	
FM-2534	 | 	
FM-2535	 | 	
FM-2540	 | 	
FM-2541	 | 	
FM-2544	 | 	
FM-2545	 | 	617178.15
FM-2547	 | 	
FM-2548	 | 	
FM-2552	 | 	
FM-2553	 | 	
FM-2554	 | 	
FM-2555	 | 	
DR-1577	 | 	
DR-1585	 | 	
FM-2571	 | 	
FM-2580	 | 	
FM-2582	 | 	
EM-3248	 | 	
FM-2583	 | 	
FM-2584	 | 	
FM-2585	 | 	
FM-2586	 | 	
DR-1628	 | 	155861914.9
FM-2630	 | 	
DR-1646	 | 	
FM-2653	 | 	
FM-2656	 | 	
FM-2662	 | 	
FM-2676	 | 	
FM-2677	 | 	
FM-2678	 | 	
FM-2681	 | 	
FM-2683	 | 	
DR-1689	 | 	
FM-2691	 | 	1216511.92
FM-2694	 | 	
FM-2700	 | 	
FM-2702	 | 	
FM-2706	 | 	
FM-2708	 | 	
FM-2728	 | 	
FM-2729	 | 	3269576.83
FM-2735	 | 	
FM-2732	 | 	
FM-2733	 | 	
FM-2734	 | 	
FM-2736	 | 	
FM-2737	 | 	
FM-2738	 | 	
FM-2739	 | 	
EM-3279	 | 	
DR-1731	 | 	
FM-2763	 | 	
FM-2766	 | 	
FM-2770	 | 	
FM-2771	 | 	
FM-2772	 | 	
FM-2775	 | 	
FM-2776	 | 	
EM-3287	 | 	
FM-2780	 | 	
FM-2781	 | 	
FM-2782	 | 	
FM-2786	 | 	
FM-2788	 | 	
FM-2789	 | 	
FM-2790	 | 	
FM-2791	 | 	
FM-2792	 | 	
DR-1810	 | 	
FM-2817	 | 	
FM-2824	 | 	
FM-2825	 | 	7358708.49
FM-2830	 | 	
FM-2828	 | 	
FM-2832	 | 	
FM-2833	 | 	
FM-2836	 | 	
FM-2839	 | 	
FM-2841	 | 	
DR-1884	 | 	
DR-1911	 | 	
FM-2849	 | 	456501.86
FM-2850	 | 	
FM-2851	 | 	
FM-2852	 | 	
FM-2856	 | 	
FM-2858	 | 	
DR-1952	 | 	
DR-1968	 | 	
FM-2955	 | 	
FM-2961	 | 	
FM-2971	 | 	
FM-2970	 | 	
FM-5004	 | 	
FM-5007	 | 	
FM-5021	 | 	
FM-5023	 | 	
FM-5024	 | 	
FM-5025	 | 	
FM-5040	 | 	
FM-5041	 | 	
FM-5049	 | 	
FM-5050	 | 	
DR-4158	 | 	22815728.79
FM-5051	 | 	
FM-5054	 | 	
FM-5055	 | 	
FM-5057	 | 	
FM-5067	 | 	
FM-5068	 | 	
FM-5069	 | 	
FM-5070	 | 	
FM-5074	 | 	
FM-5075	 | 	
FM-5076	 | 	
FM-5077	 | 	
DR-4193	 | 	29229555.98
FM-5078	 | 	
FM-5079	 | 	
FM-5081	 | 	
FM-5082	 | 	
FM-5089	 | 	
FM-5091	 | 	
FM-5093	 | 	
FM-5111	 | 	
FM-5112	 | 	
DR-4240	 | 	235436113.5
FM-5124	 | 	
FM-5128	 | 	
FM-5129	 | 	1394212.59
FM-5131	 | 	4239105.09
FM-5132	 | 	1993957.22
FM-5135	 | 	5128125.48
FM-5137	 | 	111654697.67
FM-5140	 | 	8967257.03
FM-5144	 | 	3441555.27
FM-5145	 | 	13642404.77
FM-5146	 | 	52834600.09
FM-5147	 | 	4405531.26
FM-5150	 | 	1457824.55
EM-3381	 | 	
DR-4301	 | 	90383977.88
DR-4305	 | 	41668317.94
DR-4308	 | 	204973606.00
FM-5189	 | 	158235.67
FM-5192	 | 	1052771.76
FM-5199	 | 	43321.93
FM-5201	 | 	60177.28
FM-5202	 | 	22064.94
FM-5204	 | 	
FM-5205	 | 	217812.52
FM-5213	 | 	
FM-5214	 | 	
FM-5215	 | 	
FM-5216	 | 	
FM-5217	 | 	
FM-5218	 | 	
FM-5219	 | 	
FM-5220	 | 	
FM-5221	 | 	
FM-5222	 | 	
FM-5223	 | 	
DR-4344	 | 	
FM-5224	 | 	
FM-5225	 | 	
FM-5226	 | 	
FM-5227	 | 	
FM-5228	 | 	
EM-3396	 | 	
DR-4353	 | 	87353847.80
FM-5244	 | 	
FM-5245	 | 	
FM-5250	 | 	
FM-5251	 | 	
FM-5252	 | 	
DR-4302	 | 	3297420.33
DR-4142	 | 	444517.27
DR-4312	 | 	269934.77
DR-4206	 | 	1150252.87
